,x,y,t,PM10,SO2,NO2,O3,CO,z,dataset
972,115.9718,40.4529,40,59.0,3.0,21.0,48.0,0.7,82.0,train
973,117.0709,40.1465,40,29.0,2.0,25.0,51.0,0.5,37.0,test
974,116.8336,40.4095,40,66.0,3.0,47.0,25.0,0.6,77.0,test
975,116.088,39.9726,40,90.0,3.0,61.0,16.0,0.9,90.0,train
976,116.1541,39.8204,40,78.0,1.0,48.0,32.0,0.6,78.0,train
977,116.6804,39.9081,40,55.0,3.0,42.0,24.0,0.6,50.0,train
978,115.9577,39.7603,40,87.0,1.0,62.0,29.0,0.7,91.0,train
979,116.4672,39.7733,40,62.0,1.0,32.0,37.0,0.5,48.0,train
980,115.986,40.4563,40,53.0,3.0,22.0,51.0,0.8,78.0,train
981,116.6151,40.3053,40,66.0,1.0,53.0,15.0,0.7,76.0,test
982,116.2545,39.8768,40,78.0,2.0,45.0,35.0,0.6,81.0,train
983,116.84,40.3844,40,60.0,5.0,51.0,17.0,0.6,68.0,train
984,116.3621,39.8784,41,64.0,2.0,54.0,20.0,0.5,59.0,test
985,116.2202,40.2915,41,76.0,3.0,67.0,10.0,0.8,76.0,test
986,116.4174,39.9289,41,62.0,3.0,52.0,25.0,0.7,63.0,test
987,116.4072,39.8863,41,59.0,2.0,49.0,22.0,0.6,61.0,train
988,116.462,39.9365,41,65.0,1.0,45.0,17.0,0.6,63.0,train
989,116.3392,39.9295,41,73.0,4.0,50.0,24.0,0.7,77.0,test
990,116.2878,39.9611,41,91.0,2.0,78.0,2.0,0.9,82.0,train
991,116.6636,40.135,41,45.0,2.0,48.0,20.0,0.6,44.0,train
992,116.6275,40.3275,41,69.0,3.0,57.0,20.0,0.6,84.0,train
993,116.2296,40.217,41,75.0,3.0,75.0,6.0,0.9,92.0,train
994,116.3966,39.9821,41,76.0,1.0,69.0,11.0,0.7,87.0,train
995,116.184,39.9136,41,90.0,3.0,64.0,20.0,0.6,85.0,train
996,115.9718,40.4529,41,55.0,3.0,29.0,33.0,0.7,78.0,train
997,117.0709,40.1465,41,35.0,2.0,24.0,50.0,0.7,36.0,train
998,116.8336,40.4095,41,62.0,3.0,45.0,25.0,0.6,77.0,train
999,116.088,39.9726,41,90.0,3.0,66.0,11.0,0.8,93.0,train
1000,116.1541,39.8204,41,66.0,1.0,43.0,29.0,0.6,74.0,train
1001,116.6804,39.9081,41,67.0,2.0,58.0,12.0,0.6,56.0,train
1002,115.9577,39.7603,41,118.0,1.0,64.0,22.0,0.6,85.0,train
1003,116.4672,39.7733,41,67.0,1.0,40.0,25.0,0.6,51.0,train
1004,115.986,40.4563,41,57.0,3.0,34.0,30.0,0.8,75.0,train
1005,116.6151,40.3053,41,69.0,3.0,54.0,18.0,0.7,79.0,train
1006,116.2545,39.8768,41,75.0,1.0,51.0,22.0,0.6,74.0,test
1007,116.84,40.3844,41,65.0,4.0,46.0,23.0,0.6,75.0,train
1008,116.3621,39.8784,42,62.0,2.0,58.0,9.0,0.5,56.0,train
1009,116.2202,40.2915,42,77.0,3.0,73.0,2.0,0.8,77.0,train
1010,116.4174,39.9289,42,70.0,3.0,56.0,18.0,0.7,63.0,train
1011,116.4072,39.8863,42,50.0,1.0,42.0,6.0,0.6,60.0,train
1012,116.462,39.9365,42,65.0,1.0,52.0,5.0,0.7,58.0,test
1013,116.3392,39.9295,42,76.0,5.0,59.0,11.0,0.7,74.0,test
1014,116.2878,39.9611,42,95.0,2.0,74.0,2.0,0.9,81.0,train
1015,116.6636,40.135,42,60.0,2.0,57.0,10.0,0.6,45.0,train
1016,116.6275,40.3275,42,71.0,3.0,63.0,14.0,0.7,86.0,train
1017,116.2296,40.217,42,79.0,3.0,77.0,2.0,0.9,95.0,train
1018,116.3966,39.9821,42,73.0,3.0,70.0,7.0,0.7,79.0,train
1019,116.184,39.9136,42,103.0,1.0,79.0,5.0,0.7,90.0,train
1020,115.9718,40.4529,42,61.0,3.0,45.0,9.0,0.8,76.0,train
1021,117.0709,40.1465,42,36.0,1.0,35.0,17.0,0.6,36.0,train
1022,116.8336,40.4095,42,64.0,3.0,44.0,25.0,0.6,75.0,train
1023,116.088,39.9726,42,87.0,3.0,62.0,1.0,0.9,95.0,train
1024,116.1541,39.8204,42,64.0,3.0,50.0,28.0,0.6,76.0,train
1025,116.6804,39.9081,42,74.0,1.0,68.0,2.0,0.6,60.0,train
1026,115.9577,39.7603,42,129.0,1.0,64.0,11.0,0.7,103.0,train
1027,116.4672,39.7733,42,63.0,3.0,55.0,11.0,0.6,53.0,train
1028,115.986,40.4563,42,56.0,3.0,43.0,12.0,0.9,74.0,train
1029,116.6151,40.3053,42,73.0,3.0,55.0,9.0,0.7,73.0,train
1030,116.2545,39.8768,42,67.0,1.0,67.0,3.0,0.7,71.0,test
1031,116.84,40.3844,42,61.0,4.0,36.0,31.0,0.5,75.0,train
1032,116.3621,39.8784,43,59.0,2.0,57.0,8.0,0.5,52.0,test
1033,116.2202,40.2915,43,80.0,3.0,66.0,4.0,0.8,78.0,train
1034,116.4174,39.9289,43,69.0,3.0,58.0,13.0,0.7,59.0,train
1035,116.4072,39.8863,43,52.0,1.0,49.0,1.0,0.8,57.0,train
1036,116.462,39.9365,43,68.0,1.0,52.0,1.0,0.8,59.0,train
1037,116.3392,39.9295,43,75.0,4.0,61.0,5.0,0.7,66.0,train
1038,116.2878,39.9611,43,89.0,2.0,65.0,10.0,0.8,82.0,test
1039,116.6636,40.135,43,80.0,1.0,62.0,3.0,0.7,49.0,train
1040,116.6275,40.3275,43,72.0,3.0,60.0,6.0,0.6,66.0,train
1041,116.2296,40.217,43,83.0,3.0,79.0,2.0,0.9,94.0,train
1042,116.3966,39.9821,43,64.0,1.0,70.0,6.0,0.7,64.0,test
1043,116.184,39.9136,43,90.0,1.0,77.0,4.0,0.7,77.0,train
1044,115.9718,40.4529,43,69.0,3.0,43.0,10.0,0.8,76.0,train
1045,117.0709,40.1465,43,33.0,1.0,38.0,4.0,0.7,35.0,train
1046,116.8336,40.4095,43,74.0,3.0,46.0,20.0,0.6,80.0,test
1047,116.088,39.9726,43,89.0,3.0,60.0,1.0,0.9,98.0,train
1048,116.1541,39.8204,43,83.0,3.0,73.0,2.0,0.7,70.0,train
1050,115.9577,39.7603,43,98.0,1.0,58.0,9.0,0.7,99.0,train
1051,116.4672,39.7733,43,83.0,3.0,65.0,1.0,0.7,58.0,train
1052,115.986,40.4563,43,59.0,3.0,43.0,10.0,0.9,72.0,train
1053,116.6151,40.3053,43,59.0,1.0,52.0,8.0,0.7,59.0,test
1055,116.84,40.3844,43,66.0,4.0,41.0,23.0,0.5,74.0,train
1057,116.2202,40.2915,44,80.0,3.0,64.0,2.0,0.8,79.0,train
1058,116.4174,39.9289,44,87.0,3.0,74.0,1.0,0.8,59.0,test
1060,116.462,39.9365,44,83.0,1.0,54.0,1.0,0.8,67.0,train
1061,116.3392,39.9295,44,68.0,4.0,57.0,5.0,0.7,58.0,train
1063,116.6636,40.135,44,77.0,2.0,60.0,3.0,0.7,51.0,train
1064,116.6275,40.3275,44,61.0,1.0,51.0,12.0,0.6,55.0,train
1065,116.2296,40.217,44,81.0,3.0,75.0,2.0,0.9,86.0,train
1066,116.3966,39.9821,44,66.0,1.0,62.0,13.0,0.7,68.0,train
1068,115.9718,40.4529,44,61.0,3.0,39.0,11.0,0.8,74.0,train
1069,117.0709,40.1465,44,47.0,3.0,35.0,2.0,0.7,36.0,train
1070,116.8336,40.4095,44,79.0,3.0,48.0,14.0,0.6,79.0,test
1071,116.088,39.9726,44,90.0,3.0,58.0,1.0,1.0,100.0,train
1074,115.9577,39.7603,44,103.0,1.0,46.0,9.0,0.7,94.0,train
1075,116.4672,39.7733,44,75.0,3.0,49.0,1.0,0.7,58.0,train
1076,115.986,40.4563,44,53.0,3.0,40.0,11.0,0.9,71.0,train
1077,116.6151,40.3053,44,57.0,1.0,45.0,11.0,0.6,53.0,train
1078,116.2545,39.8768,44,74.0,1.0,65.0,2.0,0.7,61.0,train
1079,116.84,40.3844,44,69.0,4.0,40.0,25.0,0.6,79.0,train
1082,116.4174,39.9289,45,88.0,3.0,71.0,1.0,0.8,67.0,train
1084,116.462,39.9365,45,72.0,1.0,48.0,1.0,0.8,65.0,train
1086,116.2878,39.9611,45,72.0,2.0,66.0,1.0,0.7,60.0,train
1087,116.6636,40.135,45,65.0,1.0,59.0,2.0,0.6,52.0,train
1088,116.6275,40.3275,45,60.0,1.0,52.0,10.0,0.6,56.0,train
1089,116.2296,40.217,45,71.0,3.0,65.0,4.0,0.7,73.0,train
1090,116.3966,39.9821,45,73.0,1.0,70.0,7.0,0.8,69.0,train
1092,115.9718,40.4529,45,64.0,3.0,39.0,9.0,0.8,68.0,train
1093,117.0709,40.1465,45,64.0,1.0,38.0,2.0,0.8,40.0,test
1094,116.8336,40.4095,45,63.0,3.0,37.0,15.0,0.6,63.0,train
1095,116.088,39.9726,45,87.0,3.0,65.0,1.0,0.8,83.0,train
1098,115.9577,39.7603,45,81.0,3.0,38.0,11.0,0.6,86.0,train
1099,116.4672,39.7733,45,59.0,3.0,37.0,1.0,0.7,52.0,train
1100,115.986,40.4563,45,53.0,3.0,34.0,8.0,0.9,66.0,train
1101,116.6151,40.3053,45,59.0,1.0,47.0,7.0,0.6,53.0,train
1103,116.84,40.3844,45,66.0,4.0,42.0,14.0,0.6,70.0,train
1105,116.2202,40.2915,46,78.0,3.0,63.0,1.0,0.8,75.0,test
1106,116.4174,39.9289,46,85.0,3.0,68.0,1.0,0.8,71.0,train
1109,116.3392,39.9295,46,85.0,4.0,63.0,1.0,0.8,74.0,train
1110,116.2878,39.9611,46,74.0,3.0,65.0,1.0,0.7,62.0,train
1111,116.6636,40.135,46,71.0,2.0,59.0,2.0,0.7,53.0,train
1112,116.6275,40.3275,46,65.0,1.0,56.0,3.0,0.6,57.0,train
1113,116.2296,40.217,46,60.0,3.0,59.0,4.0,0.7,65.0,train
1114,116.3966,39.9821,46,83.0,1.0,68.0,7.0,0.7,77.0,test
1116,115.9718,40.4529,46,61.0,3.0,32.0,11.0,0.8,58.0,train
1117,117.0709,40.1465,46,62.0,1.0,33.0,4.0,0.7,38.0,train
1118,116.8336,40.4095,46,57.0,3.0,30.0,18.0,0.5,56.0,train
1119,116.088,39.9726,46,96.0,3.0,51.0,1.0,0.9,93.0,train
1122,115.9577,39.7603,46,74.0,3.0,35.0,8.0,0.6,85.0,train
1123,116.4672,39.7733,46,56.0,3.0,37.0,1.0,0.8,51.0,train
1124,115.986,40.4563,46,51.0,3.0,34.0,7.0,0.9,63.0,test
1125,116.6151,40.3053,46,67.0,1.0,48.0,2.0,0.6,54.0,train
1127,116.84,40.3844,46,57.0,4.0,37.0,14.0,0.5,57.0,test
1130,116.4174,39.9289,47,85.0,3.0,68.0,1.0,0.9,73.0,train
1134,116.2878,39.9611,47,79.0,2.0,62.0,1.0,0.8,62.0,test
1137,116.2296,40.217,47,56.0,3.0,59.0,4.0,0.7,62.0,train
1138,116.3966,39.9821,47,79.0,1.0,66.0,7.0,0.8,84.0,train
1140,115.9718,40.4529,47,56.0,3.0,27.0,10.0,0.8,52.0,train
1141,117.0709,40.1465,47,40.0,1.0,24.0,10.0,0.6,38.0,train
1142,116.8336,40.4095,47,53.0,3.0,35.0,12.0,0.5,56.0,train
1146,115.9577,39.7603,47,75.0,3.0,30.0,9.0,0.6,89.0,train
1147,116.4672,39.7733,47,53.0,3.0,33.0,1.0,0.8,49.0,train
1148,115.986,40.4563,47,49.0,2.0,27.0,4.0,0.9,57.0,train
1151,116.84,40.3844,47,52.0,4.0,39.0,10.0,0.5,55.0,train
1153,116.2202,40.2915,48,68.0,3.0,58.0,1.0,0.7,65.0,train
1160,116.6275,40.3275,48,68.0,1.0,59.0,1.0,0.6,61.0,train
1161,116.2296,40.217,48,62.0,1.0,61.0,2.0,0.7,64.0,train
1162,116.3966,39.9821,48,76.0,1.0,64.0,7.0,0.9,77.0,train
1164,115.9718,40.4529,48,53.0,3.0,29.0,3.0,0.8,47.0,train
1165,117.0709,40.1465,48,40.0,3.0,20.0,9.0,0.6,37.0,train
1166,116.8336,40.4095,48,53.0,3.0,34.0,11.0,0.5,57.0,train
1170,115.9577,39.7603,48,71.0,3.0,25.0,9.0,0.6,88.0,train
1171,116.4672,39.7733,48,51.0,3.0,28.0,1.0,0.8,48.0,train
1172,115.986,40.4563,48,54.0,3.0,25.0,2.0,0.9,55.0,test
1173,116.6151,40.3053,48,63.0,2.0,51.0,1.0,0.6,58.0,train
1175,116.84,40.3844,48,55.0,4.0,44.0,2.0,0.5,54.0,train
1184,116.6275,40.3275,49,69.0,2.0,51.0,5.0,0.6,63.0,train
1185,116.2296,40.217,49,64.0,1.0,63.0,2.0,0.7,61.0,train
1186,116.3966,39.9821,49,76.0,1.0,59.0,7.0,0.9,76.0,train
1188,115.9718,40.4529,49,49.0,3.0,37.0,2.0,0.8,44.0,train
1189,117.0709,40.1465,49,39.0,1.0,17.0,7.0,0.6,34.0,train
1190,116.8336,40.4095,49,58.0,3.0,33.0,7.0,0.5,57.0,train
1194,115.9577,39.7603,49,65.0,3.0,22.0,8.0,0.6,87.0,train
1195,116.4672,39.7733,49,69.0,3.0,39.0,1.0,0.9,54.0,train
1196,115.986,40.4563,49,47.0,3.0,31.0,2.0,0.9,53.0,train
1197,116.6151,40.3053,49,67.0,2.0,49.0,1.0,0.6,59.0,train
1199,116.84,40.3844,49,58.0,5.0,46.0,2.0,0.5,56.0,train
1208,116.6275,40.3275,50,67.0,2.0,49.0,5.0,0.5,62.0,train
1209,116.2296,40.217,50,66.0,1.0,64.0,1.0,0.7,60.0,train
1210,116.3966,39.9821,50,88.0,2.0,60.0,6.0,0.9,85.0,train
1212,115.9718,40.4529,50,47.0,3.0,36.0,2.0,0.7,44.0,train
1213,117.0709,40.1465,50,34.0,3.0,15.0,10.0,0.5,32.0,train
1214,116.8336,40.4095,50,58.0,3.0,29.0,6.0,0.5,58.0,train
1218,115.9577,39.7603,50,65.0,3.0,21.0,6.0,0.6,90.0,train
1219,116.4672,39.7733,50,75.0,1.0,42.0,1.0,0.9,59.0,train
1220,115.986,40.4563,50,50.0,3.0,29.0,2.0,0.9,54.0,train
1221,116.6151,40.3053,50,60.0,2.0,46.0,2.0,0.6,59.0,train
1223,116.84,40.3844,50,60.0,6.0,44.0,2.0,0.5,59.0,train
1232,116.6275,40.3275,51,60.0,1.0,47.0,4.0,0.5,63.0,test
1233,116.2296,40.217,51,66.0,1.0,62.0,1.0,0.7,60.0,train
1234,116.3966,39.9821,51,79.0,2.0,58.0,6.0,0.9,91.0,train
1236,115.9718,40.4529,51,46.0,3.0,33.0,4.0,0.7,50.0,test
1237,117.0709,40.1465,51,32.0,3.0,12.0,9.0,0.5,31.0,train
1238,116.8336,40.4095,51,54.0,3.0,30.0,5.0,0.5,60.0,train
1242,115.9577,39.7603,51,63.0,3.0,17.0,5.0,0.6,89.0,train
1243,116.4672,39.7733,51,78.0,1.0,43.0,1.0,0.9,64.0,train
1244,115.986,40.4563,51,47.0,3.0,25.0,2.0,0.9,57.0,train
1247,116.84,40.3844,51,67.0,5.0,47.0,1.0,0.5,62.0,train
1249,116.2202,40.2915,52,49.0,3.0,37.0,7.0,0.7,69.0,test
1256,116.6275,40.3275,52,58.0,1.0,47.0,4.0,0.5,65.0,train
1257,116.2296,40.217,52,66.0,1.0,61.0,1.0,0.7,62.0,train
1258,116.3966,39.9821,52,78.0,2.0,56.0,6.0,0.9,88.0,train
1260,115.9718,40.4529,52,50.0,3.0,27.0,15.0,0.7,61.0,test
1261,117.0709,40.1465,52,28.0,3.0,14.0,10.0,0.5,31.0,train
1262,116.8336,40.4095,52,50.0,3.0,28.0,2.0,0.5,57.0,train
1263,116.088,39.9726,52,78.0,3.0,34.0,4.0,0.6,85.0,train
1266,115.9577,39.7603,52,59.0,3.0,16.0,5.0,0.6,86.0,test
1267,116.4672,39.7733,52,82.0,1.0,46.0,1.0,0.8,69.0,train
1268,115.986,40.4563,52,47.0,3.0,28.0,10.0,0.8,60.0,train
1271,116.84,40.3844,52,62.0,5.0,48.0,1.0,0.5,62.0,test
1273,116.2202,40.2915,53,52.0,3.0,33.0,12.0,0.7,70.0,train
1280,116.6275,40.3275,53,60.0,1.0,44.0,4.0,0.6,65.0,train
1281,116.2296,40.217,53,62.0,3.0,57.0,1.0,0.7,65.0,test
1282,116.3966,39.9821,53,84.0,2.0,53.0,6.0,0.9,82.0,train
1284,115.9718,40.4529,53,51.0,3.0,23.0,20.0,0.7,63.0,test
1285,117.0709,40.1465,53,34.0,3.0,14.0,8.0,0.5,32.0,train
1286,116.8336,40.4095,53,51.0,3.0,25.0,1.0,0.5,56.0,train
1287,116.088,39.9726,53,65.0,3.0,30.0,10.0,0.6,92.0,train
1290,115.9577,39.7603,53,64.0,3.0,16.0,4.0,0.6,83.0,train
1291,116.4672,39.7733,53,83.0,1.0,46.0,1.0,0.8,71.0,test
1292,115.986,40.4563,53,48.0,2.0,25.0,22.0,0.7,59.0,train
1293,116.6151,40.3053,53,57.0,1.0,37.0,1.0,0.6,62.0,train
1297,116.2202,40.2915,54,49.0,3.0,28.0,14.0,0.6,70.0,train
1305,116.2296,40.217,54,57.0,3.0,41.0,5.0,0.7,86.0,train
1306,116.3966,39.9821,54,80.0,2.0,56.0,6.0,0.9,84.0,train
1307,116.184,39.9136,54,76.0,3.0,40.0,3.0,0.6,101.0,train
1308,115.9718,40.4529,54,57.0,3.0,22.0,20.0,0.6,68.0,train
1309,117.0709,40.1465,54,35.0,3.0,18.0,4.0,0.5,33.0,test
1311,116.088,39.9726,54,55.0,3.0,25.0,13.0,0.5,89.0,train
1314,115.9577,39.7603,54,64.0,3.0,18.0,2.0,0.7,80.0,train
1315,116.4672,39.7733,54,85.0,1.0,45.0,1.0,0.8,76.0,train
1316,115.986,40.4563,54,49.0,2.0,26.0,21.0,0.7,58.0,test
1321,116.2202,40.2915,55,52.0,3.0,26.0,12.0,0.6,71.0,train
1329,116.2296,40.217,55,57.0,3.0,52.0,2.0,0.7,85.0,train
1330,116.3966,39.9821,55,81.0,3.0,59.0,6.0,0.9,83.0,train
1331,116.184,39.9136,55,73.0,3.0,38.0,4.0,0.6,97.0,test
1332,115.9718,40.4529,55,59.0,3.0,22.0,19.0,0.6,71.0,train
1333,117.0709,40.1465,55,40.0,3.0,17.0,1.0,0.5,32.0,test
1334,116.8336,40.4095,55,56.0,3.0,28.0,1.0,0.5,57.0,train
1335,116.088,39.9726,55,52.0,3.0,22.0,14.0,0.5,84.0,train
1338,115.9577,39.7603,55,62.0,3.0,18.0,2.0,0.7,78.0,train
1340,115.986,40.4563,55,52.0,3.0,24.0,19.0,0.7,59.0,train
1344,116.3621,39.8784,56,89.0,2.0,61.0,1.0,0.8,82.0,train
1345,116.2202,40.2915,56,53.0,3.0,22.0,7.0,0.6,68.0,train
1346,116.4174,39.9289,56,93.0,3.0,64.0,2.0,1.0,83.0,train
1348,116.462,39.9365,56,98.0,2.0,30.0,1.0,0.9,79.0,train
1350,116.2878,39.9611,56,79.0,2.0,52.0,4.0,0.7,85.0,train
1351,116.6636,40.135,56,56.0,1.0,36.0,3.0,0.6,52.0,train
1352,116.6275,40.3275,56,66.0,3.0,36.0,1.0,0.7,59.0,train
1353,116.2296,40.217,56,56.0,3.0,40.0,5.0,0.8,82.0,test
1354,116.3966,39.9821,56,78.0,2.0,56.0,7.0,0.9,87.0,train
1355,116.184,39.9136,56,81.0,3.0,39.0,3.0,0.7,92.0,train
1356,115.9718,40.4529,56,63.0,3.0,23.0,18.0,0.7,73.0,train
1357,117.0709,40.1465,56,45.0,1.0,21.0,3.0,0.6,35.0,train
1358,116.8336,40.4095,56,59.0,3.0,26.0,3.0,0.6,58.0,train
1359,116.088,39.9726,56,51.0,3.0,20.0,14.0,0.5,79.0,train
1360,116.1541,39.8204,56,71.0,3.0,32.0,2.0,0.6,71.0,train
1362,115.9577,39.7603,56,81.0,1.0,21.0,3.0,1.1,77.0,train
1363,116.4672,39.7733,56,85.0,3.0,48.0,1.0,0.9,85.0,train
1364,115.986,40.4563,56,61.0,2.0,25.0,18.0,0.8,60.0,train
1365,116.6151,40.3053,56,59.0,3.0,24.0,5.0,0.6,62.0,train
1366,116.2545,39.8768,56,100.0,3.0,52.0,1.0,0.9,83.0,train
1367,116.84,40.3844,56,74.0,5.0,41.0,3.0,0.6,71.0,train
1368,116.3621,39.8784,57,87.0,2.0,55.0,8.0,0.7,96.0,test
1369,116.2202,40.2915,57,58.0,3.0,19.0,18.0,0.6,72.0,train
1370,116.4174,39.9289,57,98.0,3.0,56.0,8.0,0.9,98.0,train
1371,116.4072,39.8863,57,95.0,2.0,62.0,1.0,1.1,87.0,train
1372,116.462,39.9365,57,102.0,2.0,37.0,3.0,0.9,85.0,train
1373,116.3392,39.9295,57,82.0,4.0,48.0,6.0,0.9,99.0,train
1374,116.2878,39.9611,57,84.0,2.0,48.0,9.0,0.7,88.0,test
1375,116.6636,40.135,57,62.0,1.0,36.0,9.0,0.6,58.0,train
1376,116.6275,40.3275,57,74.0,1.0,36.0,6.0,0.8,65.0,train
1377,116.2296,40.217,57,62.0,1.0,40.0,10.0,0.8,80.0,train
1378,116.3966,39.9821,57,78.0,1.0,50.0,14.0,0.7,103.0,train
1379,116.184,39.9136,57,87.0,3.0,40.0,7.0,0.7,89.0,train
1380,115.9718,40.4529,57,62.0,3.0,20.0,23.0,0.7,74.0,train
1381,117.0709,40.1465,57,57.0,1.0,23.0,7.0,0.6,44.0,train
1382,116.8336,40.4095,57,70.0,3.0,30.0,8.0,0.6,68.0,train
1383,116.088,39.9726,57,49.0,3.0,18.0,19.0,0.5,76.0,train
1384,116.1541,39.8204,57,89.0,3.0,34.0,10.0,0.7,71.0,train
1385,116.6804,39.9081,57,133.0,2.0,59.0,1.0,0.9,93.0,train
1386,115.9577,39.7603,57,51.0,1.0,30.0,12.0,0.8,85.0,train
1387,116.4672,39.7733,57,92.0,3.0,48.0,2.0,0.9,87.0,train
1388,115.986,40.4563,57,62.0,3.0,26.0,20.0,0.8,71.0,train
1389,116.6151,40.3053,57,58.0,1.0,21.0,11.0,0.6,67.0,train
1390,116.2545,39.8768,57,95.0,1.0,51.0,3.0,1.0,98.0,train
1391,116.84,40.3844,57,88.0,5.0,44.0,5.0,1.1,79.0,train
1392,116.3621,39.8784,58,97.0,2.0,67.0,7.0,0.8,95.0,test
1393,116.2202,40.2915,58,67.0,3.0,31.0,23.0,0.7,74.0,train
1394,116.4174,39.9289,58,104.0,3.0,63.0,10.0,1.0,102.0,test
1395,116.4072,39.8863,58,117.0,2.0,78.0,3.0,1.2,101.0,train
1396,116.462,39.9365,58,98.0,2.0,36.0,13.0,0.8,105.0,train
1397,116.3392,39.9295,58,82.0,5.0,47.0,15.0,0.9,106.0,train
1398,116.2878,39.9611,58,90.0,3.0,48.0,15.0,0.7,93.0,train
1399,116.6636,40.135,58,75.0,2.0,32.0,23.0,0.7,85.0,train
1400,116.6275,40.3275,58,76.0,1.0,35.0,20.0,0.6,91.0,train
1401,116.2296,40.217,58,74.0,1.0,40.0,20.0,0.8,84.0,train
1402,116.3966,39.9821,58,84.0,2.0,52.0,19.0,0.8,107.0,train
1403,116.184,39.9136,58,94.0,1.0,46.0,13.0,0.8,92.0,test
1404,115.9718,40.4529,58,64.0,3.0,18.0,25.0,0.6,82.0,train
1405,117.0709,40.1465,58,65.0,1.0,21.0,17.0,0.6,59.0,test
1406,116.8336,40.4095,58,70.0,1.0,25.0,28.0,0.6,98.0,train
1407,116.088,39.9726,58,60.0,3.0,24.0,24.0,0.6,87.0,train
1408,116.1541,39.8204,58,93.0,3.0,54.0,10.0,0.8,86.0,train
1409,116.6804,39.9081,58,156.0,2.0,63.0,3.0,1.0,111.0,train
1410,115.9577,39.7603,58,65.0,1.0,29.0,33.0,0.7,100.0,test
1411,116.4672,39.7733,58,91.0,3.0,59.0,5.0,0.9,105.0,train
1412,115.986,40.4563,58,56.0,3.0,23.0,25.0,0.8,78.0,train
1413,116.6151,40.3053,58,71.0,2.0,32.0,18.0,0.7,82.0,train
1414,116.2545,39.8768,58,107.0,1.0,60.0,6.0,0.9,104.0,train
1415,116.84,40.3844,58,94.0,5.0,35.0,22.0,0.8,96.0,train
1416,116.3621,39.8784,59,109.0,3.0,76.0,7.0,0.9,99.0,train
1417,116.2202,40.2915,59,59.0,3.0,25.0,32.0,0.7,71.0,test
1418,116.4174,39.9289,59,102.0,3.0,59.0,20.0,1.0,108.0,train
1419,116.4072,39.8863,59,119.0,2.0,82.0,7.0,1.2,109.0,train
1420,116.462,39.9365,59,78.0,2.0,36.0,22.0,0.7,110.0,test
1421,116.3392,39.9295,59,90.0,5.0,50.0,22.0,0.9,110.0,train
1422,116.2878,39.9611,59,103.0,3.0,53.0,18.0,0.8,98.0,train
1423,116.6636,40.135,59,94.0,2.0,31.0,32.0,0.7,88.0,train
1424,116.6275,40.3275,59,79.0,1.0,32.0,33.0,0.6,102.0,test
1425,116.2296,40.217,59,70.0,3.0,39.0,24.0,0.8,84.0,train
1426,116.3966,39.9821,59,88.0,2.0,58.0,22.0,0.8,111.0,train
1427,116.184,39.9136,59,106.0,1.0,51.0,20.0,0.8,99.0,train
1428,115.9718,40.4529,59,55.0,3.0,15.0,33.0,0.6,79.0,train
1429,117.0709,40.1465,59,84.0,1.0,23.0,34.0,0.7,87.0,train
1430,116.8336,40.4095,59,70.0,3.0,19.0,38.0,0.6,96.0,train
1431,116.088,39.9726,59,71.0,3.0,35.0,33.0,0.8,89.0,train
1432,116.1541,39.8204,59,109.0,1.0,59.0,13.0,0.9,94.0,train
1433,116.6804,39.9081,59,132.0,1.0,59.0,7.0,0.9,132.0,train
1434,115.9577,39.7603,59,107.0,1.0,49.0,57.0,0.7,115.0,train
1435,116.4672,39.7733,59,106.0,3.0,54.0,9.0,0.8,134.0,train
1436,115.986,40.4563,59,56.0,3.0,19.0,32.0,0.7,77.0,train
1437,116.6151,40.3053,59,80.0,2.0,32.0,31.0,0.7,95.0,train
1438,116.2545,39.8768,59,145.0,1.0,70.0,8.0,1.0,109.0,train
1439,116.84,40.3844,59,95.0,6.0,31.0,34.0,0.8,99.0,train
1440,116.3621,39.8784,60,114.0,3.0,80.0,13.0,0.9,108.0,train
1441,116.2202,40.2915,60,67.0,1.0,32.0,34.0,0.7,74.0,train
1442,116.4174,39.9289,60,105.0,3.0,63.0,27.0,1.0,111.0,train
1443,116.4072,39.8863,60,119.0,2.0,81.0,14.0,1.1,120.0,test
1444,116.462,39.9365,60,119.0,2.0,44.0,24.0,0.8,113.0,train
1445,116.3392,39.9295,60,96.0,5.0,62.0,23.0,1.0,112.0,train
1446,116.2878,39.9611,60,12.0,3.0,58.0,24.0,0.8,99.0,train
1447,116.6636,40.135,60,92.0,2.0,33.0,43.0,0.7,92.0,train
1448,116.6275,40.3275,60,80.0,1.0,31.0,47.0,0.6,104.0,train
1449,116.2296,40.217,60,2.0,3.0,35.0,32.0,0.8,85.0,train
1450,116.3966,39.9821,60,95.0,2.0,62.0,28.0,0.9,113.0,train
1451,116.184,39.9136,60,21.0,2.0,74.0,16.0,1.0,109.0,train
1452,115.9718,40.4529,60,46.0,3.0,14.0,41.0,0.6,72.0,train
1453,117.0709,40.1465,60,89.0,1.0,22.0,48.0,0.7,96.0,test
1454,116.8336,40.4095,60,65.0,3.0,21.0,47.0,0.6,92.0,train
1455,116.088,39.9726,60,79.0,3.0,45.0,31.0,0.7,93.0,train
1456,116.1541,39.8204,60,122.0,1.0,61.0,17.0,0.9,101.0,test
1457,116.6804,39.9081,60,119.0,1.0,52.0,20.0,0.9,131.0,train
