x,y,t,PM10,SO2,NO2,O3,CO,PM25,stationID
116.2296,40.217,7,93.0,1.0,56.0,3.0,0.8,74.0,1010A
116.3966,39.9821,7,62.0,1.0,55.0,10.0,0.8,73.0,1011A
115.9718,40.4529,7,38.0,3.0,35.0,1.0,0.4,23.0,3281A
117.0709,40.1465,7,46.0,3.0,25.0,1.0,0.6,32.0,3417A
116.8336,40.4095,7,14.0,1.0,13.0,25.0,0.3,13.0,3418A
116.088,39.9726,7,60.0,3.0,35.0,9.0,0.5,32.0,3671A
116.6804,39.9081,7,46.0,2.0,43.0,5.0,0.8,36.0,3673A
115.9577,39.7603,7,33.0,1.0,30.0,16.0,0.6,58.0,3674A
116.4672,39.7733,7,31.0,3.0,47.0,8.0,0.9,34.0,3675A
115.986,40.4563,7,26.0,2.0,24.0,8.0,0.4,16.0,3694A
116.6151,40.3053,7,61.0,3.0,43.0,2.0,1.0,44.0,3695A
116.84,40.3844,7,23.0,7.0,24.0,15.0,0.4,16.0,3697A
116.3621,39.8784,8,38.0,4.0,57.0,4.0,1.0,41.0,1001A
116.2202,40.2915,8,65.0,1.0,20.0,20.0,0.5,56.0,1002A
116.4174,39.9289,8,52.0,1.0,49.0,5.0,0.8,39.0,1003A
116.4072,39.8863,8,57.0,2.0,50.0,1.0,1.0,47.0,1004A
116.462,39.9365,8,46.0,1.0,32.0,6.0,0.8,36.0,1005A
116.3392,39.9295,8,63.0,6.0,46.0,1.0,1.1,56.0,1006A
116.6636,40.135,8,81.0,2.0,45.0,2.0,0.8,50.0,1008A
116.6275,40.3275,8,68.0,6.0,44.0,8.0,1.0,44.0,1009A
116.2296,40.217,8,81.0,1.0,56.0,5.0,0.9,62.0,1010A
116.3966,39.9821,8,45.0,1.0,52.0,13.0,0.8,53.0,1011A
115.9718,40.4529,8,51.0,3.0,29.0,4.0,0.4,21.0,3281A
117.0709,40.1465,8,55.0,1.0,27.0,1.0,0.7,36.0,3417A
116.8336,40.4095,8,15.0,1.0,11.0,29.0,0.3,9.0,3418A
116.088,39.9726,8,63.0,3.0,33.0,9.0,0.4,33.0,3671A
116.1541,39.8204,8,50.0,3.0,49.0,3.0,1.0,56.0,3672A
116.6804,39.9081,8,59.0,3.0,41.0,7.0,0.9,37.0,3673A
115.9577,39.7603,8,90.0,1.0,50.0,4.0,0.7,68.0,3674A
116.4672,39.7733,8,42.0,3.0,38.0,13.0,1.1,33.0,3675A
115.986,40.4563,8,41.0,3.0,32.0,4.0,0.5,17.0,3694A
116.6151,40.3053,8,67.0,6.0,42.0,5.0,1.1,42.0,3695A
116.84,40.3844,8,14.0,6.0,17.0,25.0,0.3,9.0,3697A
116.3621,39.8784,9,40.0,5.0,54.0,10.0,1.1,38.0,1001A
116.2202,40.2915,9,46.0,1.0,22.0,24.0,0.5,37.0,1002A
116.4174,39.9289,9,43.0,2.0,47.0,11.0,0.9,31.0,1003A
116.4072,39.8863,9,49.0,3.0,56.0,3.0,1.1,38.0,1004A
116.462,39.9365,9,44.0,2.0,29.0,15.0,1.1,33.0,1005A
116.3392,39.9295,9,46.0,6.0,41.0,8.0,1.0,42.0,1006A
116.2878,39.9611,9,42.0,2.0,37.0,14.0,0.7,43.0,1007A
116.6636,40.135,9,53.0,2.0,39.0,10.0,0.9,40.0,1008A
116.6275,40.3275,9,63.0,10.0,39.0,12.0,1.1,43.0,1009A
116.2296,40.217,9,67.0,2.0,50.0,9.0,1.0,49.0,1010A
116.3966,39.9821,9,50.0,1.0,52.0,15.0,0.9,45.0,1011A
115.9718,40.4529,9,63.0,3.0,30.0,10.0,0.4,23.0,3281A
117.0709,40.1465,9,71.0,1.0,28.0,2.0,0.8,39.0,3417A
116.8336,40.4095,9,25.0,1.0,9.0,32.0,0.3,8.0,3418A
116.088,39.9726,9,57.0,3.0,30.0,11.0,0.4,30.0,3671A
116.1541,39.8204,9,45.0,3.0,45.0,8.0,1.0,41.0,3672A
116.6804,39.9081,9,56.0,4.0,36.0,15.0,0.9,34.0,3673A
115.9577,39.7603,9,106.0,1.0,54.0,2.0,0.8,76.0,3674A
116.4672,39.7733,9,42.0,1.0,37.0,15.0,1.4,30.0,3675A
115.986,40.4563,9,47.0,3.0,32.0,12.0,0.5,21.0,3694A
116.6151,40.3053,9,69.0,7.0,40.0,6.0,1.0,41.0,3695A
116.2545,39.8768,9,76.0,1.0,52.0,1.0,1.1,62.0,3696A
116.84,40.3844,9,26.0,5.0,13.0,30.0,0.3,8.0,3697A
116.3621,39.8784,10,45.0,6.0,50.0,14.0,1.1,36.0,1001A
116.2202,40.2915,10,76.0,2.0,39.0,16.0,0.6,45.0,1002A
116.4174,39.9289,10,45.0,2.0,47.0,11.0,0.9,32.0,1003A
116.4072,39.8863,10,52.0,4.0,61.0,6.0,1.3,36.0,1004A
116.462,39.9365,10,45.0,3.0,28.0,17.0,1.1,34.0,1005A
116.3392,39.9295,10,42.0,5.0,35.0,17.0,0.9,37.0,1006A
116.2878,39.9611,10,42.0,1.0,46.0,7.0,0.8,44.0,1007A
116.6636,40.135,10,34.0,9.0,34.0,18.0,0.8,40.0,1008A
116.6275,40.3275,10,59.0,8.0,31.0,22.0,0.9,38.0,1009A
116.2296,40.217,10,64.0,2.0,46.0,13.0,1.0,45.0,1010A
116.3966,39.9821,10,39.0,1.0,48.0,22.0,0.8,38.0,1011A
116.184,39.9136,10,61.0,1.0,51.0,3.0,0.9,51.0,1012A
115.9718,40.4529,10,61.0,3.0,30.0,15.0,0.4,24.0,3281A
117.0709,40.1465,10,58.0,1.0,32.0,5.0,0.8,42.0,3417A
116.8336,40.4095,10,18.0,3.0,7.0,36.0,0.2,7.0,3418A
116.088,39.9726,10,60.0,3.0,31.0,12.0,0.4,34.0,3671A
116.1541,39.8204,10,40.0,3.0,39.0,18.0,0.8,35.0,3672A
116.6804,39.9081,10,52.0,5.0,39.0,16.0,0.9,34.0,3673A
115.9577,39.7603,10,109.0,1.0,54.0,3.0,0.9,82.0,3674A
116.4672,39.7733,10,55.0,3.0,39.0,16.0,1.3,32.0,3675A
115.986,40.4563,10,38.0,3.0,24.0,26.0,0.4,19.0,3694A
116.6151,40.3053,10,46.0,6.0,22.0,27.0,0.8,34.0,3695A
116.2545,39.8768,10,59.0,1.0,51.0,2.0,1.0,46.0,3696A
116.84,40.3844,10,24.0,5.0,11.0,34.0,0.3,10.0,3697A
116.3621,39.8784,11,49.0,5.0,53.0,14.0,1.1,38.0,1001A
116.2202,40.2915,11,66.0,3.0,42.0,18.0,0.8,50.0,1002A
116.4174,39.9289,11,54.0,2.0,45.0,13.0,0.9,35.0,1003A
116.4072,39.8863,11,53.0,5.0,56.0,12.0,1.3,37.0,1004A
116.462,39.9365,11,48.0,2.0,28.0,19.0,1.0,34.0,1005A
116.3392,39.9295,11,47.0,5.0,41.0,9.0,1.0,42.0,1006A
116.2878,39.9611,11,60.0,1.0,49.0,4.0,0.9,48.0,1007A
116.6636,40.135,11,43.0,8.0,31.0,23.0,0.8,39.0,1008A
116.6275,40.3275,11,41.0,5.0,21.0,34.0,0.7,29.0,1009A
116.2296,40.217,11,63.0,3.0,43.0,17.0,0.9,43.0,1010A
116.3966,39.9821,11,43.0,1.0,46.0,26.0,0.9,39.0,1011A
116.184,39.9136,11,38.0,1.0,43.0,14.0,0.8,37.0,1012A
115.9718,40.4529,11,49.0,3.0,25.0,23.0,0.4,27.0,3281A
117.0709,40.1465,11,52.0,3.0,42.0,9.0,1.1,44.0,3417A
116.8336,40.4095,11,24.0,2.0,10.0,39.0,0.4,17.0,3418A
116.088,39.9726,11,61.0,1.0,34.0,10.0,0.4,38.0,3671A
116.1541,39.8204,11,49.0,1.0,42.0,18.0,0.9,37.0,3672A
116.6804,39.9081,11,52.0,6.0,40.0,19.0,0.9,36.0,3673A
115.9577,39.7603,11,92.0,2.0,50.0,8.0,0.9,76.0,3674A
116.4672,39.7733,11,68.0,3.0,38.0,17.0,1.2,35.0,3675A
115.986,40.4563,11,42.0,3.0,24.0,30.0,0.4,21.0,3694A
116.6151,40.3053,11,37.0,5.0,23.0,29.0,0.7,32.0,3695A
116.2545,39.8768,11,77.0,1.0,46.0,5.0,0.9,42.0,3696A
116.84,40.3844,11,31.0,5.0,12.0,37.0,0.3,13.0,3697A
116.3621,39.8784,12,52.0,4.0,45.0,18.0,0.8,42.0,1001A
116.2202,40.2915,12,81.0,3.0,38.0,24.0,0.8,56.0,1002A
116.4174,39.9289,12,47.0,2.0,41.0,19.0,0.9,37.0,1003A
116.4072,39.8863,12,51.0,5.0,49.0,17.0,1.2,37.0,1004A
116.462,39.9365,12,48.0,3.0,28.0,19.0,1.1,36.0,1005A
116.3392,39.9295,12,46.0,6.0,39.0,15.0,0.9,46.0,1006A
116.2878,39.9611,12,54.0,2.0,48.0,10.0,0.9,48.0,1007A
116.6636,40.135,12,31.0,5.0,27.0,31.0,0.7,35.0,1008A
116.6275,40.3275,12,39.0,5.0,23.0,33.0,0.7,29.0,1009A
116.2296,40.217,12,78.0,3.0,46.0,17.0,1.0,49.0,1010A
116.3966,39.9821,12,40.0,1.0,39.0,34.0,0.8,41.0,1011A
116.184,39.9136,12,45.0,1.0,41.0,17.0,0.8,39.0,1012A
115.9718,40.4529,12,57.0,3.0,20.0,34.0,0.4,36.0,3281A
117.0709,40.1465,12,63.0,4.0,44.0,11.0,1.1,44.0,3417A
116.8336,40.4095,12,24.0,2.0,10.0,42.0,0.4,16.0,3418A
116.088,39.9726,12,71.0,1.0,34.0,17.0,0.6,49.0,3671A
116.1541,39.8204,12,56.0,2.0,39.0,23.0,0.9,40.0,3672A
116.6804,39.9081,12,56.0,5.0,39.0,18.0,0.9,37.0,3673A
115.9577,39.7603,12,86.0,2.0,51.0,9.0,0.9,72.0,3674A
116.4672,39.7733,12,47.0,3.0,38.0,20.0,1.0,37.0,3675A
115.986,40.4563,12,46.0,3.0,13.0,48.0,0.4,34.0,3694A
116.6151,40.3053,12,40.0,5.0,22.0,30.0,0.7,30.0,3695A
116.2545,39.8768,12,48.0,2.0,42.0,16.0,0.9,40.0,3696A
116.84,40.3844,12,42.0,7.0,19.0,35.0,0.5,26.0,3697A
116.3621,39.8784,13,19.0,4.0,39.0,28.0,0.7,44.0,1001A
116.2202,40.2915,13,92.0,4.0,43.0,22.0,0.9,65.0,1002A
116.4174,39.9289,13,61.0,3.0,43.0,20.0,1.0,42.0,1003A
116.4072,39.8863,13,46.0,5.0,44.0,25.0,1.0,39.0,1004A
116.462,39.9365,13,49.0,3.0,27.0,23.0,1.0,37.0,1005A
116.3392,39.9295,13,54.0,6.0,34.0,24.0,0.9,52.0,1006A
116.2878,39.9611,13,61.0,3.0,47.0,14.0,0.9,52.0,1007A
116.6636,40.135,13,60.0,3.0,29.0,26.0,0.7,37.0,1008A
116.6275,40.3275,13,51.0,4.0,23.0,36.0,0.7,33.0,1009A
116.2296,40.217,13,75.0,2.0,47.0,18.0,1.0,50.0,1010A
116.3966,39.9821,13,46.0,2.0,37.0,40.0,0.9,45.0,1011A
116.184,39.9136,13,48.0,2.0,36.0,24.0,0.8,44.0,1012A
115.9718,40.4529,13,48.0,3.0,7.0,58.0,0.4,51.0,3281A
117.0709,40.1465,13,60.0,5.0,37.0,21.0,1.0,44.0,3417A
116.8336,40.4095,13,55.0,3.0,18.0,37.0,0.6,31.0,3418A
116.088,39.9726,13,90.0,2.0,34.0,27.0,0.9,66.0,3671A
116.1541,39.8204,13,62.0,2.0,36.0,28.0,0.8,46.0,3672A
116.6804,39.9081,13,55.0,4.0,34.0,24.0,0.8,38.0,3673A
115.9577,39.7603,13,95.0,2.0,53.0,12.0,0.9,82.0,3674A
116.4672,39.7733,13,53.0,3.0,36.0,24.0,0.9,39.0,3675A
115.986,40.4563,13,55.0,3.0,11.0,60.0,0.5,48.0,3694A
116.6151,40.3053,13,42.0,4.0,23.0,32.0,0.7,32.0,3695A
116.2545,39.8768,13,51.0,2.0,31.0,32.0,0.9,46.0,3696A
116.84,40.3844,13,50.0,8.0,21.0,36.0,0.6,31.0,3697A
116.2202,40.2915,14,104.0,3.0,46.0,23.0,0.9,66.0,1002A
116.4174,39.9289,14,70.0,3.0,41.0,26.0,0.9,48.0,1003A
116.4072,39.8863,14,60.0,5.0,51.0,22.0,1.1,46.0,1004A
116.462,39.9365,14,61.0,3.0,30.0,22.0,1.0,43.0,1005A
116.3392,39.9295,14,60.0,6.0,31.0,31.0,0.9,55.0,1006A
116.2878,39.9611,14,67.0,3.0,45.0,20.0,0.8,54.0,1007A
116.6636,40.135,14,33.0,4.0,26.0,32.0,0.8,39.0,1008A
116.6275,40.3275,14,73.0,4.0,28.0,32.0,0.8,44.0,1009A
116.2296,40.217,14,81.0,2.0,49.0,18.0,1.0,53.0,1010A
116.3966,39.9821,14,55.0,2.0,46.0,34.0,1.0,47.0,1011A
116.184,39.9136,14,65.0,1.0,36.0,29.0,0.8,54.0,1012A
115.9718,40.4529,14,67.0,3.0,15.0,58.0,0.5,63.0,3281A
117.0709,40.1465,14,46.0,4.0,31.0,28.0,0.9,40.0,3417A
116.8336,40.4095,14,51.0,3.0,14.0,46.0,0.5,32.0,3418A
116.088,39.9726,14,92.0,2.0,37.0,25.0,0.9,69.0,3671A
116.1541,39.8204,14,75.0,1.0,44.0,23.0,0.9,66.0,3672A
116.6804,39.9081,14,61.0,5.0,36.0,30.0,0.8,40.0,3673A
115.9577,39.7603,14,84.0,1.0,52.0,18.0,0.9,86.0,3674A
116.4672,39.7733,14,65.0,3.0,35.0,28.0,0.9,46.0,3675A
115.986,40.4563,14,72.0,3.0,20.0,60.0,0.6,61.0,3694A
116.6151,40.3053,14,71.0,4.0,26.0,30.0,0.7,39.0,3695A
116.2545,39.8768,14,62.0,2.0,36.0,30.0,0.9,57.0,3696A
116.84,40.3844,14,44.0,8.0,16.0,44.0,0.5,32.0,3697A
116.3621,39.8784,15,44.0,4.0,43.0,31.0,0.7,59.0,1001A
116.2202,40.2915,15,109.0,3.0,50.0,19.0,0.9,63.0,1002A
116.4174,39.9289,15,65.0,3.0,40.0,28.0,0.8,50.0,1003A
116.4072,39.8863,15,63.0,5.0,44.0,30.0,1.0,52.0,1004A
116.462,39.9365,15,70.0,3.0,29.0,29.0,0.9,50.0,1005A
116.3392,39.9295,15,60.0,6.0,35.0,29.0,0.9,57.0,1006A
116.2878,39.9611,15,64.0,2.0,45.0,22.0,0.8,56.0,1007A
116.6636,40.135,15,48.0,3.0,33.0,29.0,0.8,45.0,1008A
116.6275,40.3275,15,113.0,2.0,34.0,27.0,0.8,52.0,1009A
116.2296,40.217,15,80.0,2.0,50.0,20.0,1.0,55.0,1010A
116.3966,39.9821,15,64.0,1.0,44.0,39.0,0.9,54.0,1011A
116.184,39.9136,15,83.0,1.0,46.0,20.0,0.9,67.0,1012A
115.9718,40.4529,15,85.0,3.0,22.0,56.0,0.6,63.0,3281A
117.0709,40.1465,15,42.0,4.0,22.0,40.0,0.7,37.0,3417A
116.8336,40.4095,15,56.0,3.0,17.0,44.0,0.6,37.0,3418A
116.088,39.9726,15,73.0,2.0,37.0,29.0,0.8,62.0,3671A
116.1541,39.8204,15,90.0,1.0,45.0,26.0,0.9,71.0,3672A
116.6804,39.9081,15,73.0,5.0,44.0,30.0,0.9,45.0,3673A
115.9577,39.7603,15,87.0,1.0,37.0,40.0,0.8,83.0,3674A
116.4672,39.7733,15,68.0,3.0,29.0,39.0,0.8,53.0,3675A
115.986,40.4563,15,81.0,3.0,27.0,55.0,0.7,64.0,3694A
116.6151,40.3053,15,121.0,3.0,34.0,24.0,0.8,51.0,3695A
116.2545,39.8768,15,85.0,2.0,39.0,28.0,0.9,68.0,3696A
116.84,40.3844,15,49.0,7.0,16.0,43.0,0.5,36.0,3697A
116.3621,39.8784,16,58.0,3.0,43.0,32.0,0.7,64.0,1001A
116.2202,40.2915,16,81.0,3.0,53.0,18.0,0.9,61.0,1002A
